id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
FIP1L1control	72	9.673e-39	1.147e-06	9.9e-05	1	72	-0.95774	1.0	1.0	0.999999	4313	0	-0.95774
CPSF1control	72	6.0164e-33	1.147e-06	9.9e-05	2	72	-1.023	1.0	1.0	0.999999	4315	0	-1.023
NUDT21control	72	1.9558e-27	1.147e-06	9.9e-05	3	71	-0.90745	1.0	1.0	0.999999	4314	1	-0.90745
SRSF11control	72	2.1611e-24	1.147e-06	9.9e-05	4	69	-0.66557	1.0	1.0	0.999999	4312	0	-0.66557
controlPABPN1	72	6.9902e-23	1.147e-06	9.9e-05	5	69	-0.9912	1.0	1.0	0.999999	4310	3	-0.9912
CPSF2control	72	2.6795e-20	1.147e-06	9.9e-05	6	66	-0.60887	1.0	1.0	0.999999	4280	1	-0.60887
HNRNPH1control	72	2.3126e-19	1.147e-06	9.9e-05	7	66	-0.91108	1.0	1.0	0.999999	4308	1	-0.91108
PAPOLAcontrol	72	1.4546e-18	1.147e-06	9.9e-05	8	65	-0.56367	1.0	1.0	0.999999	4309	2	-0.56367
AQRcontrol	72	2.7788e-17	1.147e-06	9.9e-05	9	65	-0.77869	1.0	1.0	0.999999	4316	0	-0.77869
NCBP1control	72	1.2425e-15	1.147e-06	9.9e-05	10	50	-1.0144	0.98643	0.99991	0.999999	3164	18	-1.0144
TP53MDM2	9	4.2927e-14	1.147e-06	9.9e-05	11	7	-1.1521	0.91768	0.96773	0.999999	2809	1	-1.1521
controlTHOC5	72	1.9899e-13	1.147e-06	9.9e-05	12	41	-0.30335	0.0054389	0.059173	0.300814	707	27	-0.30335
controlEXOSC2	72	3.1253e-13	1.147e-06	9.9e-05	13	61	-0.73489	1.0	1.0	0.999999	4311	3	-0.73489
CPSF6control	72	2.1901e-12	1.147e-06	9.9e-05	14	60	-0.4228	1.0	1.0	0.999999	4306	5	-0.4228
controlNCBP1	72	4.3498e-12	1.147e-06	9.9e-05	15	48	-0.93726	0.19735	0.66919	0.999999	1640	20	-0.93726
BRCA1PARP1	9	4.7527e-12	1.147e-06	9.9e-05	16	9	-1.2537	1.0	1.0	0.999999	4287	0	-1.2537
CDK11Bcontrol	72	1.3016e-11	1.147e-06	9.9e-05	17	59	-0.42459	1.0	1.0	0.999999	4268	7	-0.42459
controlTHOC2	72	8.2814e-11	1.147e-06	9.9e-05	18	57	-0.45263	1.0	1.0	0.999999	4305	7	-0.45263
controlEXOSC8	72	5.8216e-10	1.147e-06	9.9e-05	19	57	-0.47069	1.0	1.0	0.999999	4299	7	-0.47069
FIP1L1C17orf85	9	6.8628e-10	1.147e-06	9.9e-05	20	9	-1.1534	1.0	1.0	0.999999	4301	0	-1.1534
CPSF1MDM2	9	7.8281e-10	1.147e-06	9.9e-05	21	9	-1.2213	1.0	1.0	0.999999	4303	0	-1.2213
CPSF1ZCCHC8	9	1.0401e-09	1.147e-06	9.9e-05	22	9	-1.2593	1.0	1.0	0.999999	4302	0	-1.2593
FIP1L1RBM27	9	1.298e-09	1.147e-06	9.9e-05	23	9	-1.02	1.0	1.0	0.999999	4283	0	-1.02
NUDT21SRRT	9	1.3625e-09	1.147e-06	9.9e-05	24	9	-1.0167	1.0	1.0	0.999999	4300	0	-1.0167
FIP1L1ZCCHC8	9	2.864e-09	1.147e-06	9.9e-05	25	9	-1.0471	1.0	1.0	0.999999	4298	0	-1.0471
NUDT21EXOSC8	9	3.6828e-09	1.147e-06	9.9e-05	26	9	-1.0791	1.0	1.0	0.999999	4297	0	-1.0791
CPSF1SRRT	9	4.0014e-09	1.147e-06	9.9e-05	27	9	-1.1381	1.0	1.0	0.999999	4291	0	-1.1381
FIP1L1EXOSC1	9	5.3191e-09	1.147e-06	9.9e-05	28	9	-1.0213	1.0	1.0	0.999999	4295	0	-1.0213
CPSF1SKIV2L2	9	5.9867e-09	1.147e-06	9.9e-05	29	9	-1.0541	1.0	1.0	0.999999	4294	0	-1.0541
