id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NCBP1control	72	1.8072e-18	1.147e-06	0.000619	1	51	-0.33627	0.64333	0.95264	0.999999	3160	8	-0.33627
controlNCBP1	72	5.0806e-16	1.147e-06	0.000619	2	46	-0.30422	0.46628	0.88205	0.999999	2678	9	-0.30422
HNRNPH1control	72	1.5072e-11	1.147e-06	0.000619	3	47	-0.24052	1.0	1.0	0.999999	4316	4	-0.24052
CDK20NCBP1	9	7.7288e-09	1.147e-06	0.000619	4	6	-0.5092	0.0147	0.060286	0.724204	366	2	-0.5092
NCBP1SF3B1	9	9.7849e-09	1.147e-06	0.000619	5	8	-0.5251	0.99966	0.99966	0.999999	4288	0	-0.5251
AQRcontrol	72	1.6916e-08	1.147e-06	0.000619	6	43	-0.20844	0.92948	0.99746	0.999999	3802	10	-0.20844
MOV10NCBP1	9	4.662e-08	1.147e-06	0.000619	7	6	-0.47969	0.2232	0.45039	0.999999	1854	2	-0.47969
controlPABPN1	72	5.8037e-08	1.147e-06	0.000619	8	41	-0.2852	0.95671	0.99881	0.999999	3900	15	-0.2852
HNRNPH1UPF2	9	3.7754e-07	3.441e-06	0.001142	9	9	-0.47989	1.0	0.99999	0.999999	4315	0	-0.47989
CCNKNCBP1	9	5.141e-07	3.441e-06	0.001142	10	6	-0.67942	0.97949	0.97967	0.999999	4047	0	-0.67942
CNOT7HNRNPC	9	5.483e-07	3.441e-06	0.001142	11	9	-0.28227	0.99998	0.99998	0.999999	4310	0	-0.28227
PARNNCBP1	9	6.6508e-07	3.441e-06	0.001142	12	6	-0.44331	0.95889	0.95949	0.999999	3908	1	-0.44331
CCNT2NCBP1	9	6.8881e-07	3.441e-06	0.001142	13	7	-0.48092	0.94046	0.94635	0.999999	3834	1	-0.48092
WDR33EXOSC2	9	1.2028e-06	5.735e-06	0.001456	14	7	-0.40483	0.17642	0.38754	0.999999	1605	2	-0.40483
DROSHANCBP1	9	1.332e-06	5.735e-06	0.001456	15	7	-0.57168	0.99829	0.99823	0.999999	4254	0	-0.57168
NUDT21NCBP1	9	1.345e-06	5.735e-06	0.001456	16	8	-0.40905	0.98605	0.98606	0.999999	4105	0	-0.40905
CDK11BNCBP1	9	1.4893e-06	5.735e-06	0.001456	17	7	-0.47325	0.99986	0.99985	0.999999	4300	0	-0.47325
RNMTNCBP1	9	1.895e-06	1.0323e-05	0.002475	18	7	-0.35553	0.95277	0.95465	0.999999	3880	1	-0.35553
NCBP1PARP1	9	2.4098e-06	1.2617e-05	0.002723	19	8	-0.43366	0.99941	0.99942	0.999999	4279	0	-0.43366
NUDT21MDM2	9	2.6085e-06	1.2617e-05	0.002723	20	7	-0.24475	0.14088	0.33729	0.999999	1422	1	-0.24475
HNRNPH1SF3B1	9	3.325e-06	1.9499e-05	0.004008	21	7	-0.50606	0.99893	0.99891	0.999999	4267	0	-0.50606
