id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CPSF6control	72	1.0824e-33	1.147e-06	9.3e-05	1	72	-1.414	1.0	1.0	0.999999	4310	0	-1.414
FIP1L1control	72	4.6353e-31	1.147e-06	9.3e-05	2	72	-0.9968	1.0	1.0	0.999999	4311	0	-0.9968
HNRNPH1control	72	2.8973e-30	1.147e-06	9.3e-05	3	72	-2.2476	1.0	1.0	0.999999	4312	0	-2.2476
CNOT7control	72	3.7885e-30	1.147e-06	9.3e-05	4	72	-1.5551	1.0	1.0	0.999999	4314	0	-1.5551
SRSF11control	72	6.0228e-30	1.147e-06	9.3e-05	5	71	-1.4177	1.0	1.0	0.999999	4309	0	-1.4177
NUDT21control	72	2.2549e-26	1.147e-06	9.3e-05	6	71	-1.3529	1.0	1.0	0.999999	4315	0	-1.3529
controlNCBP1	72	1.6749e-21	1.147e-06	9.3e-05	7	48	-1.9439	0.70954	0.98013	0.999999	2428	22	-1.9439
controlPABPN1	72	1.8165e-21	1.147e-06	9.3e-05	8	68	-1.8276	1.0	1.0	0.999999	4303	2	-1.8276
NCBP1control	72	6.0031e-21	1.147e-06	9.3e-05	9	48	-1.7639	0.99872	1.0	0.999999	3586	20	-1.7639
SMN1control	72	4.2988e-20	1.147e-06	9.3e-05	10	68	-0.65542	1.0	1.0	0.999999	4301	2	-0.65542
controlSMG1	72	1.1911e-18	1.147e-06	9.3e-05	11	67	-1.6632	1.0	1.0	0.999999	4304	1	-1.6632
controlTRA2B	72	5.1904e-18	1.147e-06	9.3e-05	12	66	-1.6054	1.0	1.0	0.999999	4316	0	-1.6054
CDK12control	72	6.2058e-18	1.147e-06	9.3e-05	13	66	-0.71672	1.0	1.0	0.999999	4306	2	-0.71672
CCNCcontrol	72	1.1622e-16	1.147e-06	9.3e-05	14	65	-0.65541	1.0	1.0	0.999999	4313	0	-0.65541
controlHNRNPA1	72	4.0863e-16	1.147e-06	9.3e-05	15	65	-1.012	1.0	1.0	0.999999	4308	3	-1.012
controlEXOSC2	72	1.7204e-11	1.147e-06	9.3e-05	16	60	-1.0037	1.0	1.0	0.999999	4307	6	-1.0037
FIP1L1MDM2	9	2.5079e-11	1.147e-06	9.3e-05	17	9	-1.6644	1.0	1.0	0.999999	4289	0	-1.6644
CPSF6EXOSC8	9	9.7412e-11	1.147e-06	9.3e-05	18	9	-2.0625	1.0	1.0	0.999999	4305	0	-2.0625
CNOT7HNRNPC	9	5.6671e-10	1.147e-06	9.3e-05	19	9	-3.0566	1.0	1.0	0.999999	4298	0	-3.0566
CNOT7DIS3L	9	1.3977e-09	1.147e-06	9.3e-05	20	9	-2.0696	1.0	1.0	0.999999	4302	0	-2.0696
CNOT7SKIV2L2	9	1.5121e-09	1.147e-06	9.3e-05	21	9	-1.8711	0.99999	0.99999	0.999999	4197	0	-1.8711
CPSF6SRRT	9	3.4721e-09	1.147e-06	9.3e-05	22	9	-1.7294	1.0	1.0	0.999999	4300	0	-1.7294
CPSF6MDM2	9	4.9667e-09	1.147e-06	9.3e-05	23	9	-1.655	1.0	1.0	0.999999	4292	0	-1.655
CNOT7BRCA2	9	6.6158e-09	1.147e-06	9.3e-05	24	9	-1.3894	1.0	1.0	0.999999	4299	0	-1.3894
