id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
FIP1L1control	72	2.9888e-38	1.147e-06	7.7e-05	1	72	-1.7896	1.0	1.0	0.999999	4310	0	-1.7896
CPSF6control	72	1.0949e-36	1.147e-06	7.7e-05	2	72	-1.9623	1.0	1.0	0.999999	4314	0	-1.9623
HNRNPH1control	72	1.706e-34	1.147e-06	7.7e-05	3	72	-2.6324	1.0	1.0	0.999999	4313	0	-2.6324
controlPABPN1	72	1.057e-24	1.147e-06	7.7e-05	4	71	-2.063	1.0	1.0	0.999999	4307	0	-2.063
SMN1control	72	1.1e-23	1.147e-06	7.7e-05	5	71	-0.69764	1.0	1.0	0.999999	4312	0	-0.69764
NCBP1control	72	2.733e-22	1.147e-06	7.7e-05	6	48	-2.0328	0.85377	0.99535	0.999999	2562	24	-2.0328
controlTRA2B	72	5.5509e-22	1.147e-06	7.7e-05	7	70	-1.4256	1.0	1.0	0.999999	4315	0	-1.4256
RNGTTcontrol	72	1.4157e-17	1.147e-06	7.7e-05	8	48	-1.5962	0.54683	0.94225	0.999999	2040	24	-1.5962
controlHNRNPA1	72	1.676e-16	1.147e-06	7.7e-05	9	66	-1.8148	1.0	1.0	0.999999	4316	0	-1.8148
WDR33control	72	2.246e-16	1.147e-06	7.7e-05	10	65	-1.6816	1.0	1.0	0.999999	4308	1	-1.6816
controlTHOC2	72	2.0906e-15	1.147e-06	7.7e-05	11	65	-0.78954	1.0	1.0	0.999999	4309	1	-0.78954
NUDT21control	72	6.9189e-15	1.147e-06	7.7e-05	12	64	-1.1033	1.0	1.0	0.999999	4305	3	-1.1033
controlEXOSC2	72	8.3286e-15	1.147e-06	7.7e-05	13	53	-1.7588	1.0	1.0	0.999999	4294	11	-1.7588
controlNCBP1	72	9.6037e-14	1.147e-06	7.7e-05	14	48	-1.8845	0.041738	0.2758	0.922054	1139	24	-1.8845
controlMDM2	72	1.2311e-13	1.147e-06	7.7e-05	15	63	-0.79649	1.0	1.0	0.999999	4306	3	-0.79649
controlALYREF	72	1.3066e-12	1.147e-06	7.7e-05	16	62	-0.49149	1.0	1.0	0.999999	4311	2	-0.49149
CPSF1control	72	4.6626e-12	1.147e-06	7.7e-05	17	61	-0.60086	1.0	1.0	0.999999	4303	5	-0.60086
AQRcontrol	72	1.5903e-11	1.147e-06	7.7e-05	18	50	-1.4948	0.99994	1.0	0.999999	4115	15	-1.4948
FIP1L1RBM27	9	5.8796e-11	1.147e-06	7.7e-05	19	9	-1.6928	1.0	1.0	0.999999	4301	0	-1.6928
controlEXOSC7	72	9.852e-11	1.147e-06	7.7e-05	20	24	0.27645	0.0062447	0.066872	0.290361	862	44	0.27645
FIP1L1THOC5	9	1.8995e-10	1.147e-06	7.7e-05	21	9	-1.9465	0.99995	0.99993	0.999999	4128	0	-1.9465
CPSF6BRCA2	9	1.9004e-10	1.147e-06	7.7e-05	22	9	-2.2185	1.0	1.0	0.999999	4300	0	-2.2185
FIP1L1SKIV2L2	9	1.9616e-10	1.147e-06	7.7e-05	23	9	-2.2009	1.0	1.0	0.999999	4299	0	-2.2009
CPSF2control	72	2.0561e-10	1.147e-06	7.7e-05	24	59	-0.80858	1.0	1.0	0.999999	4302	3	-0.80858
CPSF6EXOSC1	9	2.1606e-10	1.147e-06	7.7e-05	25	9	-2.104	1.0	1.0	0.999999	4298	0	-2.104
FIP1L1EXOSC1	9	2.9075e-10	1.147e-06	7.7e-05	26	9	-1.9885	1.0	1.0	0.999999	4297	0	-1.9885
FIP1L1C17orf85	9	4.7479e-10	1.147e-06	7.7e-05	27	9	-1.697	1.0	1.0	0.999999	4296	0	-1.697
FIP1L1ZCCHC8	9	8.184e-10	1.147e-06	7.7e-05	28	9	-1.7175	1.0	1.0	0.999999	4295	0	-1.7175
SYMPKcontrol	72	1.1211e-09	1.147e-06	7.7e-05	29	58	-1.076	1.0	1.0	0.999999	4304	3	-1.076
controlSMG1	72	1.6233e-09	1.147e-06	7.7e-05	30	50	-1.38	0.99998	1.0	0.999999	4183	17	-1.38
FIP1L1SRRT	9	2.0466e-09	1.147e-06	7.7e-05	31	9	-1.9131	1.0	1.0	0.999999	4292	0	-1.9131
controlEXOSC9	72	2.2475e-09	1.147e-06	7.7e-05	32	48	-0.81237	0.25102	0.7457	0.999999	1649	24	-0.81237
